年月,平均気温,日最高気温の平均,日最低気温の平均
2010/1/1,6.6,10.3,3.3
2010/2/1,9.4,13.1,6
2010/3/1,10.9,14.3,7.6
2010/4/1,13.8,18.1,10.3
2010/5/1,19.2,23.6,15.6
2010/6/1,23.5,27.6,20.7
2010/7/1,27.7,31.5,24.8
2010/8/1,30.3,35.2,27.1
2010/9/1,26.3,30.4,23
2010/10/1,20,23.6,16.7
2010/11/1,13.2,17.4,9.4
2010/12/1,8.8,12.3,5.4
2011/1/1,3.8,6.5,1.1
2011/2/1,8.2,12.7,4.4
2011/3/1,8.8,13,5.4
2011/4/1,14.7,19.6,10.3
2011/5/1,19.8,23.9,16.3
2011/6/1,23.9,27.6,21.3
2011/7/1,27.9,31.9,24.9
2011/8/1,28.5,33.1,25.6
2011/9/1,25.2,29.3,21.9
2011/10/1,19.7,23.5,16.5
2011/11/1,16.3,20.3,12.8
2011/12/1,8.5,11.6,5.7
2012/1/1,6.3,9.4,3.7
2012/2/1,5.7,8.9,2.9
2012/3/1,10.7,14.4,7.6
2012/4/1,16.2,21,12.1
2012/5/1,20.1,24.6,16.9
2012/6/1,23.1,26.9,20.6
2012/7/1,28,31.9,25.2
2012/8/1,29.1,33.6,26
2012/9/1,24.5,28.4,21.6
2012/10/1,19.2,23.8,15.3
2012/11/1,12.9,16.5,9.5
2012/12/1,7.6,11,4.4
2013/1/1,6.1,9.8,2.9
2013/2/1,7.8,11.6,4.5
2013/3/1,12.3,17.4,7.9
2013/4/1,14.7,19.2,10.7
2013/5/1,20.3,25.3,16.2
2013/6/1,23.7,27.1,21
2013/7/1,30,34,26.9
2013/8/1,30,34.5,26.7
2013/9/1,25.2,29.5,21.8
2013/10/1,20.7,24.7,17.4
2013/11/1,13.4,17.1,10.2
2013/12/1,8.1,11.4,5.3
2014/1/1,7.5,11.7,3.9
2014/2/1,7.6,11.3,4.5
2014/3/1,11.5,16.1,7.6
2014/4/1,15.6,20.6,11.4
2014/5/1,20.5,25.8,16
2014/6/1,22.6,26.6,20.1
2014/7/1,27.1,30.9,24.2
2014/8/1,26.5,29.7,24.4
2014/9/1,24.2,28.2,21.2
2014/10/1,19.7,24,16.2
2014/11/1,14.7,18.9,11.2
2014/12/1,7.6,10.9,4.5
2015/1/1,7.9,11.1,4.8
2015/2/1,7.6,11.2,4.6
2015/3/1,11.1,15.4,7.4
2015/4/1,16.2,21,12.4
2015/5/1,20.7,25.3,17
2015/6/1,22.6,26.3,20.1
2015/7/1,26,29.8,23.2
2015/8/1,27.4,31.4,24.7
2015/9/1,23.2,27.3,20.3
2015/10/1,18.9,23.5,14.8
2015/11/1,16,19.6,12.9
2015/12/1,10.3,13.5,7.4
2016/1/1,7,9.9,4.4
2016/2/1,7.9,12,4.2
2016/3/1,11.5,16.1,7.9
2016/4/1,16.8,21.3,13.4
2016/5/1,20.8,25.6,16.5
2016/6/1,23.6,27.4,20.7
2016/7/1,28.3,32.7,25.5
2016/8/1,29.3,34.3,26.1
2016/9/1,25.1,28.4,22.6
2016/10/1,21.3,25.1,18.6
2016/11/1,14.5,18.3,10.9
2016/12/1,10.5,14.4,7.1
2017/1/1,7.4,11.5,4
2017/2/1,8.3,12.5,4.6
2017/3/1,10.5,14.7,7.2
2017/4/1,16.5,21.1,12.7
2017/5/1,21,25.8,17.2
2017/6/1,23.1,27.7,19.6
2017/7/1,29.4,33.3,26.5
2017/8/1,29.5,33.8,26.4
2017/9/1,24.3,28,21.3
2017/10/1,19.8,23.1,17.1
2017/11/1,13.6,17.6,10.1
2017/12/1,7.4,10.6,4.2
2018/1/1,5.7,9,2.8
2018/2/1,6.2,10.1,2.7
2018/3/1,11.9,16.9,7.7
2018/4/1,17.1,21.9,13
2018/5/1,20.8,25.3,16.9
2018/6/1,23.7,27.6,20.4
2018/7/1,28.7,32.6,25.7
2018/8/1,30,34.5,27
2018/9/1,24.8,28.5,22.1
2018/10/1,19.1,22.9,15.7
2018/11/1,14.3,19,10.5
2018/12/1,10.2,13.1,7.3
2019/1/1,8,11.7,4.4
2019/2/1,9.4,13.3,6.3
2019/3/1,11.9,16.1,8.3
2019/4/1,15.4,19.8,11.9
2019/5/1,21.1,26.4,16.7
2019/6/1,23.4,27.8,20.2
2019/7/1,26.4,29.9,24
2019/8/1,28,31.9,25.2
2019/9/1,25.9,29.9,23
2019/10/1,20.5,24.4,17.3
2019/11/1,14.9,19.4,11
2019/12/1,10.3,14.1,6.9
